Channel,Attribution_Model,Attributed_Revenue
Adwords,First_Touch,2427618.5023311563
Email,First_Touch,3638476.993266005
Facebook,First_Touch,812966.5606715865
Organic,First_Touch,391494.20031285286
YouTube,First_Touch,796817.2808116674
Adwords,Last_Touch,2416756.2620941587
Email,Last_Touch,3666868.8335724063
Facebook,Last_Touch,791268.450753469
Organic,Last_Touch,398881.560284853
YouTube,Last_Touch,793598.4306883812
Adwords,Linear,2418818.6001587487
Email,Linear,3648507.914653014
Facebook,Linear,801504.5657244417
Organic,Linear,394671.9587805404
YouTube,Linear,803870.4980758779
Adwords,Markov_Chain,2415027.050813981
Email,Markov_Chain,3094373.656299958
Facebook,Markov_Chain,1009071.7076318208
Organic,Markov_Chain,534245.6631096994
YouTube,Markov_Chain,1014655.4595378094
